player_club,h,rank
Zira FC,163,164
Motherwell FC,162,163
Loko Plovdiv,161,162
KF Teuta,160,161
Sfintul Gheor.,159,160
FC Honka,158,159
Neman Grodno,157,158
Auda,156,157
CSKA 1948,155,156
AC Escaldes,154,155
Bruno's Magpies,153,154
KF Llapi,152,153
Botev Plovdiv,151,152
UE Santa Coloma,150,151
Sligo Rovers,149,150
Hesperange,148,149
CSKA Moscow,147,148
Standard Liège,146,147
FC Inter,145,146
Bohemians,144,145
Tre Fiori,143,144
NK Domzale,142,143
Glentoran,141,142
SC Gjilani,140,141
FK Qabala,139,140
Cercle Brugge,138,139
Aktobe,137,138
Zimbru Chisinau,136,137
Torpedo Kutaisi,135,136
Ilves,134,135
CA Osasuna,133,134
Adana Demirspor,132,133
Gil Vicente,131,132
Shamakhi,130,131
Viborg FF,129,130
Santa Clara,128,129
Paços Ferreira,127,128
Shakhter K.,126,127
Ararat Yerevan,125,126
Newtown,124,125
R Charleroi SC,123,124
AIK,122,123
Sileks,121,122
Hafnarfjördur,120,121
FC Prishtina,119,120
Rio Ave,118,119
St. Johnstone,117,118
KR Reykjavík,116,117
Coleraine,115,116
RFCU Luxembourg,114,115
Makedonija,113,114
Birkirkara FC,112,113
Zeljeznicar,111,112
B. Jerusalem,110,111
FCV Farul,109,110
Wisla Kraków,108,109
Kryvbas,107,108
Paksi FC,106,107
KF Egnatia,105,106
Cliftonville,104,105
Stjarnan,103,104
Mlada Boleslav,102,103
Kilmarnock FC,101,102
KA Akureyri,100,101
Qyzyljar,99,100
Dundee United,98,99
Kisvárda,97,98
Arouca,96,97
Rubin Kazan,95,96
Sochi,94,95
Lillestrøm,93,94
Willem II,92,93
Újpest FC,91,92
AEL Limassol,90,91
Rostov,89,90
Stade Reims,88,89
Konyaspor,87,88
Sönderjyske,86,87
Piast Gliwice,85,86
FC Locomotive,84,85
NK Lokomotiva,83,84
Alanyaspor,82,83
NSÍ Runavík,81,82
Desna,80,81
FK Iskra,79,80
Debrecen,78,79
Banik Ostrava,77,78
St. Mirren,76,77
Tromsø,75,76
Mornar Bar,74,75
M. Petah Tikva,73,74
Corvinul,72,73
Bohemians 1905,71,72
Zalaegerszeg,70,71
Kalmar FF,69,70
Kecskemét,68,69
Haverfordwest,67,68
KF Dukagjini,66,67
FC Koper,65,66
Maccabi Netanya,64,65
Gomel,63,64
FK Tuzla City,62,63
Vålerenga,61,62
FC Ashdod,60,61
Arda Kardzhali,59,60
Dynamo Moscow,58,59
OFI Crete FC,57,58
Honvéd,56,57
IFK Göteborg,55,56
Valur,54,55
JFK Ventspils,53,54
Lechia Gdansk,52,53
TSV Hartberg,51,52
Radnicki Nis,50,51
FC Botosani,49,50
Renova,48,49
SS Folgore,47,48
Kaysar,46,47
SJK Seinäjoki,45,46
FK Kukësi,44,45
Riteriai,43,44
Balzan FC,42,43
Sliema Wander.,41,42
Cherno More,40,41
Go Ahead Eagles,39,40
Shelbourne,38,39
Radnicki 1923,37,38
Caernarfon,36,37
NK Bravo,35,36
Polissya,34,35
FK TransINVEST,33,34
Virtus,32,33
FC Haka,31,32
Cosmos,30,31
Arsenal Tivat,29,30
Penybont,28,29
Hegelmann,27,28
FC Gagra,26,27
Mosta FC,25,26
FK Podgorica,24,25
Brera Strumica,23,24
Mons Calpe,22,23
Slavia Sofia,21,22
Zeta Golubovac,20,21
Siroki Brijeg,19,20
Shirak Gyumri,18,19
Cracovia,17,18
Valletta,16,17
Sant Julia,15,16
Kalju FC,14,15
Dinamo-Auto,13,14
Sirens FC,12,13
Titus Petange,11,12
JK Trans Narva,10,11
Tikves,9,10
Marsaxlokk,8,9
FC UNA Strassen,7,8
Kalev,6,7
Isloch,5,6
FA Siauliai,4,5
FC Malisheva,3,4
VPS,2,3
Barry Town,1,2
