player_club,age,position,nationality,player_height,strong_foot,contract_value_time,appearances,PPG,substitutions_on,substitutions_off,goals_conceded,clean_sheet,market_value,minute_per_game,goal_per_game,assist_per_game
283,34.0,Defender,208,1.73,right,2.0,7.0,1.43,2.0,5.0,0.0,0.0,10000.0,55.42857143,0.0,0.0
1,27.0,Defender,208,1.73,right,1.0,6.0,1.5143660090423348,0.0,1.0,0.0,0.0,20000.0,88.5,0.0,0.1666666666666666
356,28.0,Midfielder,208,1.78,right,2.0,8.0,1.13,1.0,0.0,0.0,0.0,12000.0,84.375,0.125,0.25
356,24.0,Midfielder,208,1.75,right,5.0,8.0,1.63,2.0,4.0,0.0,0.0,18000.0,59.375,0.0,0.0
258,25.0,Midfielder,208,1.77,right,1.0,5.0,2.0,1.0,3.0,0.0,0.0,300.0,69.4,0.0,0.0
413,32.0,Midfielder,191,1.82,right,1.0,9.0,1.44,2.0,3.0,0.0,0.0,8000.0,67.66666667,0.3333333333333333,0.3333333333333333
1,35.0,Midfielder,210,1.87,right,2.0,11.0,1.45,0.0,2.0,0.0,0.0,1000.0,87.81818182,0.0909090909090909,0.0
1,27.0,Midfielder,208,1.85,right,1.0,2.0,1.5143660090423348,1.0,1.0,0.0,0.0,500.0,53.5,0.0,0.0
191,27.0,Midfielder,208,1.79,right,1.0,6.0,1.5,5.0,1.0,0.0,0.0,350.0,24.33333333,0.0,0.0
387,32.0,Forward,189,1.84,both,1.0,8.0,2.0,1.0,3.0,0.0,0.0,45000.0,77.375,0.375,0.25
1,29.0,Forward,163,1.72,right,1.0,8.0,1.0,1.0,0.0,0.0,0.0,5000.0,82.125,0.5,0.125
301,32.0,Forward,211,1.84,left,3.0,6.0,1.83,4.0,2.0,0.0,0.0,1800.0,47.66666667,0.0,0.1666666666666666
352,30.0,Forward,205,1.85,left,2.0,11.0,1.82,0.0,1.0,0.0,0.0,8000.0,89.18181818,0.2727272727272727,0.4545454545454545
413,30.0,Defender,185,1.87,right,1.0,2.0,2.0,2.0,0.0,0.0,0.0,15000.0,23.0,0.0,0.0
418,30.0,Defender,166,1.87,right,1.0,8.0,1.75,2.0,3.0,0.0,0.0,3000.0,66.75,0.0,0.0
1,34.0,Defender,208,1.94,right,2.0,5.0,1.4,0.0,0.0,0.0,0.0,2500.0,83.0,0.0,0.0
1,26.0,Defender,151,1.85,right,1.0,6.0,0.67,0.0,3.0,0.0,0.0,3000.0,85.83333333,0.0,0.0
1,39.0,Defender,208,1.75,both,1.0,8.0,1.38,2.0,0.0,0.0,0.0,500.0,70.875,0.0,0.25
413,25.0,Defender,206,1.83,right,4.0,12.0,1.33,0.0,1.0,0.0,0.0,40000.0,0.08775,0.0,0.0833333333333333
421,34.0,Defender,203,1.83,right,1.0,9.0,2.0,1.0,6.0,0.0,0.0,4000.0,68.33333333,0.1111111111111111,0.1111111111111111
359,36.0,Midfielder,180,1.94,left,2.0,7.0,1.43,1.0,6.0,0.0,0.0,3000.0,65.28571429,0.0,0.0
1,23.0,Midfielder,208,1.82,right,2.0,5.0,1.6,2.0,1.0,0.0,0.0,22000.0,63.6,0.0,0.0
381,31.0,Midfielder,207,1.69,both,3.0,10.0,2.3,1.0,8.0,0.0,0.0,15000.0,72.4,0.3,0.3
260,35.0,Midfielder,209,1.82,right,1.0,7.0,1.14,5.0,2.0,0.0,0.0,2000.0,37.28571429,0.0,0.0
404,27.0,Midfielder,167,1.91,right,4.0,9.0,2.11,5.0,0.0,0.0,0.0,32000.0,48.66666667,0.2222222222222222,0.1111111111111111
1,36.0,Midfielder,209,1.7,left,1.0,1.0,1.5143660090423348,1.0,0.0,0.0,0.0,700.0,28.0,0.0,0.0
1,28.0,Midfielder,207,1.78,right,2.0,8.0,1.38,0.0,8.0,0.0,0.0,20000.0,77.25,0.125,0.0
394,24.0,Midfielder,208,1.66,right,0.0,10.0,1.5,1.0,5.0,0.0,0.0,28000.0,66.8,0.1,0.1
413,26.0,Forward,208,1.85,left,4.0,12.0,1.33,1.0,8.0,0.0,0.0,60000.0,70.33333333,0.3333333333333333,0.25
1,24.0,Forward,205,1.85,left,0.0,9.0,1.11,0.0,5.0,0.0,0.0,6000.0,76.44444444,0.1111111111111111,0.0
301,28.0,Forward,210,1.81,right,3.0,1.0,1.0,1.0,0.0,0.0,0.0,9000.0,15.0,0.0,0.0
1,28.0,Forward,208,1.83,left,1.0,4.0,0.25,3.0,0.0,0.0,0.0,250.0,28.25,0.0,0.0
410,31.0,Defender,138,1.83,left,1.0,7.0,1.57,0.0,2.0,0.0,0.0,10000.0,85.71428571,0.0,0.1428571428571428
1,29.0,Defender,208,1.82,right,3.0,11.0,1.0,0.0,1.0,0.0,0.0,2800.0,87.90909091,0.0,0.0
409,26.0,Defender,173,1.94,right,4.0,8.0,1.0,3.0,0.0,0.0,0.0,20000.0,70.0,0.0,0.0
1,26.0,Defender,177,1.92,right,3.0,11.0,2.0,2.0,1.0,0.0,0.0,2500.0,73.36363636,0.0909090909090909,0.0
1,27.0,Defender,209,1.8,right,1.0,2.0,1.5,0.0,0.0,0.0,0.0,1500.0,90.0,0.0,0.0
1,24.0,Defender,208,1.95,left,2.0,4.0,2.0,0.0,1.0,0.0,0.0,400.0,71.5,0.0,0.0
376,29.0,Defender,209,1.78,right,4.0,8.0,2.25,1.0,0.0,0.0,0.0,4000.0,82.25,0.0,0.125
359,27.0,Defender,208,1.8,right,3.0,10.0,1.9,2.0,0.0,0.0,0.0,9000.0,72.6,0.1,0.1
1,32.0,Defender,208,1.85,right,1.0,1.0,3.0,1.0,0.0,0.0,0.0,250.0,12.0,0.0,0.0
1,26.0,Defender,208,1.76,right,2.0,7.0,1.86,4.0,2.0,0.0,0.0,500.0,44.0,0.1428571428571428,0.0
369,28.0,Midfielder,201,1.66,right,2.0,13.0,2.15,0.0,5.0,0.0,0.0,15000.0,0.084230769,0.0769230769230769,0.3076923076923077
419,32.0,Midfielder,192,1.86,right,4.0,11.0,2.36,1.0,1.0,0.0,0.0,20000.0,82.54545455,0.0909090909090909,0.2727272727272727
1,32.0,Midfielder,179,1.79,right,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3500.0,90.0,0.1666666666666666,0.1666666666666666
1,33.0,Midfielder,183,1.78,right,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1000.0,90.0,0.0,0.0
400,25.0,Midfielder,210,1.85,right,4.0,9.0,1.78,0.0,2.0,0.0,0.0,25000.0,87.11111111,0.1111111111111111,0.0
421,35.0,Midfielder,112,1.77,both,2.0,10.0,2.1,1.0,5.0,0.0,0.0,6000.0,71.0,0.0,0.1
283,25.0,Midfielder,208,1.86,right,3.0,8.0,1.5,5.0,2.0,0.0,0.0,30000.0,34.375,0.125,0.125
418,30.0,Midfielder,209,1.76,right,2.0,3.0,2.0,2.0,1.0,0.0,0.0,1500.0,27.0,0.0,0.0
1,24.0,Midfielder,208,1.82,right,5.0,10.0,1.4,3.0,7.0,0.0,0.0,28000.0,57.1,0.2,0.1
1,28.0,Forward,168,1.83,right,4.0,10.0,1.4,2.0,3.0,0.0,0.0,25000.0,70.5,0.1,0.1
1,24.0,Forward,208,1.75,right,1.0,7.0,1.43,6.0,1.0,0.0,0.0,15000.0,26.28571429,0.2857142857142857,0.1428571428571428
1,29.0,Forward,197,1.73,right,2.0,6.0,1.33,2.0,4.0,0.0,0.0,4000.0,53.5,0.0,0.0
359,33.0,Forward,210,1.75,right,1.0,9.0,2.11,1.0,4.0,0.0,0.0,9000.0,75.44444444,0.3333333333333333,0.1111111111111111
1,35.0,Forward,128,1.87,right,0.0,7.0,1.43,0.0,2.0,0.0,0.0,5000.0,88.14285714,0.4285714285714285,0.0
335,33.0,Forward,208,1.85,right,2.0,9.0,2.0,1.0,5.0,0.0,0.0,5000.0,78.66666667,0.5555555555555556,0.1111111111111111
1,25.0,Forward,208,1.75,right,5.0,6.0,0.83,0.0,4.0,0.0,0.0,30000.0,75.0,0.1666666666666666,0.0
1,31.0,Defender,208,1.88,right,1.0,9.0,0.89,0.0,0.0,0.0,0.0,6000.0,90.0,0.2222222222222222,0.1111111111111111
1,30.0,Defender,200,1.95,right,1.0,7.0,1.14,0.0,3.0,0.0,0.0,3000.0,80.42857143,0.0,0.0
1,28.0,Defender,150,1.87,right,1.0,1.0,1.5143660090423348,1.0,0.0,0.0,0.0,5000.0,5.0,0.0,0.0
1,28.0,Defender,91,1.86,left,2.0,6.0,1.33,2.0,2.0,0.0,0.0,350.0,61.33333333,0.0,0.0
1,30.0,Defender,208,1.85,right,1.0,9.0,1.44,2.0,0.0,0.0,0.0,450.0,77.22222222,0.2222222222222222,0.1111111111111111
1,30.0,Defender,122,1.88,right,2.0,2.0,0.5,0.0,0.0,0.0,0.0,800.0,90.0,0.0,0.0
365,31.0,Defender,210,1.78,left,2.0,10.0,2.3,0.0,7.0,0.0,0.0,12000.0,79.1,0.0,0.2
1,31.0,Defender,208,1.8,left,1.0,14.0,1.14,0.0,1.0,0.0,0.0,175.0,0.088285714,0.0,0.1428571428571428
1,36.0,Defender,152,1.77,right,1.0,2.0,1.5,0.0,1.0,0.0,0.0,500.0,78.5,0.0,0.0
1,27.0,Defender,208,1.76,right,1.0,10.0,1.7,0.0,0.0,0.0,0.0,2500.0,90.0,0.1,0.4
316,26.0,Midfielder,151,1.78,right,2.0,6.0,1.17,1.0,3.0,0.0,0.0,1200.0,71.0,0.0,0.0
394,31.0,Midfielder,206,1.9,right,2.0,4.0,2.0,0.0,2.0,0.0,0.0,10000.0,73.0,0.0,0.0
1,35.0,Midfielder,195,1.74,right,1.0,8.0,1.25,3.0,2.0,0.0,0.0,2000.0,60.875,0.0,0.0
55,35.0,Midfielder,142,1.86,right,1.0,3.0,1.67,0.0,2.0,0.0,0.0,750.0,80.66666667,0.0,0.0
397,27.0,Midfielder,208,1.83,left,2.0,9.0,1.89,7.0,2.0,0.0,0.0,1500.0,31.66666667,0.0,0.0
410,27.0,Forward,168,1.74,right,2.0,8.0,1.75,1.0,4.0,0.0,0.0,40000.0,70.875,0.375,0.375
387,27.0,Forward,207,1.84,right,0.0,3.0,2.33,3.0,0.0,0.0,0.0,35000.0,11.33333333,0.0,0.0
1,27.0,Forward,208,1.89,right,1.0,8.0,1.0,0.0,3.0,0.0,0.0,22000.0,85.75,0.25,0.125
381,33.0,Forward,184,1.83,right,2.0,5.0,2.2,5.0,0.0,0.0,0.0,1700.0,11.6,0.0,0.0
1,29.0,Forward,209,1.74,right,2.0,7.0,0.57,2.0,3.0,0.0,0.0,1500.0,50.71428571,0.4285714285714285,0.1428571428571428
413,31.0,Defender,208,1.94,right,1.0,9.0,1.33,3.0,4.0,0.0,0.0,18000.0,54.66666667,0.1111111111111111,0.0
381,28.0,Defender,184,1.85,both,3.0,13.0,2.08,2.0,1.0,0.0,0.0,9000.0,0.079538462,0.0769230769230769,0.0
413,36.0,Defender,152,1.88,both,1.0,7.0,2.0,3.0,2.0,0.0,0.0,2000.0,54.28571429,0.0,0.0
1,27.0,Defender,208,1.85,right,2.0,6.0,1.17,2.0,1.0,0.0,0.0,1300.0,54.33333333,0.0,0.0
420,27.0,Defender,208,1.8,left,3.0,1.0,3.0,1.0,0.0,0.0,0.0,22000.0,45.0,0.0,0.0
1,29.0,Defender,186,1.8,left,2.0,7.0,1.43,0.0,4.0,0.0,0.0,600.0,83.42857143,0.0,0.1428571428571428
356,31.0,Defender,206,1.75,right,2.0,2.0,3.0,0.0,0.0,0.0,0.0,8000.0,90.0,0.0,0.0
356,27.0,Midfielder,168,1.83,right,3.0,9.0,1.33,0.0,4.0,0.0,0.0,16000.0,86.33333333,0.1111111111111111,0.4444444444444444
1,36.0,Midfielder,209,1.9,right,1.0,7.0,1.57,5.0,1.0,0.0,0.0,300.0,31.28571429,0.0,0.0
326,32.0,Midfielder,195,1.68,right,1.0,5.0,2.2,4.0,1.0,0.0,0.0,2500.0,21.8,0.0,0.0
356,27.0,Midfielder,208,1.78,right,3.0,3.0,2.33,2.0,1.0,0.0,0.0,4500.0,40.33333333,0.0,0.3333333333333333
365,27.0,Midfielder,204,1.77,right,3.0,11.0,2.36,0.0,3.0,0.0,0.0,30000.0,88.09090909,0.0909090909090909,0.3636363636363636
387,27.0,Midfielder,208,1.75,right,4.0,10.0,1.9,2.0,8.0,0.0,0.0,70000.0,66.7,0.2,0.4
353,27.0,Midfielder,177,1.79,right,2.0,18.0,2.06,0.0,10.0,0.0,0.0,1500.0,0.078444444,0.2777777777777778,0.1666666666666666
1,28.0,Forward,150,1.83,right,3.0,4.0,2.5,2.0,1.0,0.0,0.0,8000.0,55.5,0.0,0.25
283,26.0,Forward,208,1.82,right,4.0,10.0,1.8,4.0,4.0,0.0,0.0,35000.0,54.6,0.3,0.1
1,32.0,Forward,175,1.82,left,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1500.0,20.0,0.0,0.3333333333333333
1,29.0,Forward,161,1.78,right,1.0,12.0,1.42,2.0,4.0,0.0,0.0,1500.0,73.16666667,0.25,0.5
356,37.0,Forward,208,1.79,right,1.0,8.0,1.13,0.0,4.0,0.0,0.0,1000.0,83.375,0.375,0.0
402,28.0,Forward,168,1.85,left,2.0,5.0,1.0,2.0,3.0,0.0,0.0,9000.0,54.4,0.0,0.0
1,36.0,Forward,175,1.88,right,2.0,5.0,0.8,0.0,0.0,0.0,0.0,1200.0,90.0,0.4,0.0
1,27.0,Defender,210,1.94,right,3.0,7.0,1.43,3.0,0.0,0.0,0.0,20000.0,55.71428571,0.0,0.0
59,33.0,Defender,159,1.89,right,1.0,10.0,1.4,1.0,1.0,0.0,0.0,3000.0,80.8,0.1,0.2
1,36.0,Defender,203,1.91,left,1.0,5.0,1.2,0.0,1.0,0.0,0.0,500.0,82.8,0.0,0.0
409,34.0,Defender,208,1.7,left,1.0,4.0,1.5,3.0,0.0,0.0,0.0,900.0,28.75,0.0,0.0
328,30.0,Defender,151,1.79,left,1.0,12.0,2.0,1.0,0.0,0.0,0.0,4000.0,0.084416667,0.0833333333333333,0.1666666666666666
1,31.0,Defender,208,1.83,right,1.0,10.0,2.0,9.0,1.0,0.0,0.0,1000.0,10.8,0.0,0.0
1,24.0,Defender,208,1.84,right,4.0,5.0,0.2,2.0,0.0,0.0,0.0,8000.0,62.2,0.0,0.2
